2025-10-29 04:58:22 INFO  👉 initialize() [lib.rs:13]
2025-10-29 04:58:22 DEBUG  - npm_config_node_gyp="C:\Users\H5495\AppData\Roaming\npm\node_modules\npm\node_modules\node-gyp\bin\node-gyp.js" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_noproxy="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_npm_version="11.6.2" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_prefix="C:\Users\H5495\AppData\Roaming\npm" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_userconfig="C:\Users\H5495\.npmrc" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_user_agent="npm/11.6.2 node/v22.18.0 win32 x64 workspaces/false" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_execpath="C:\Users\H5495\AppData\Roaming\npm\node_modules\npm\bin\npm-cli.js" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_lifecycle_event="tauri" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_lifecycle_script="tauri" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_node_execpath="C:\Program Files\nodejs\node.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_package_json="D:\workspace\H2541_gui\package.json" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_package_name="h2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_package_version="0.1.0" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - NUMBER_OF_PROCESSORS="12" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - OLDPWD="D:/workspace" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - OneDrive="C:\Users\H5495\OneDrive" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ORIGINAL_PATH="C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Users\H5495\bin;D:\VSCode\VSCode-win32-x64-1.105.1;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0;C:\WINDOWS\System32\OpenSSH;C:\Program Files (x86)\AOMEI\AOMEI Backupper\7.1.2;C:\Program Files (x86)\PuTTY;C:\Program Files\dotnet;C:\Program Files\Bandizip;C:\Program Files\Git\cmd;C:\Program Files\nodejs;C:\Users\H5495\.cargo\bin;C:\Python38\Scripts;C:\Python38;C:\Users\H5495\AppData\Local\Microsoft\WindowsApps;C:\Users\H5495\.dotnet\tools;C:\Users\H5495\AppData\Roaming\npm" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ORIGINAL_TEMP="C:/Users/H5495/AppData/Local/Temp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ORIGINAL_TMP="C:/Users/H5495/AppData/Local/Temp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ORIGINAL_XDG_CURRENT_DESKTOP="undefined" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - OS="Windows_NT" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - OUT_DIR="D:\workspace\H2541_gui\src-tauri\target\debug\build\h2541_gui-45339abc5589a2a9\out" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PATH="D:\workspace\H2541_gui\src-tauri\target\debug\build\vswhom-sys-f181dcbae5c434a2\out;D:\workspace\H2541_gui\src-tauri\target\debug\build\webview2-com-sys-e2054d51d1747cef\out\x64;D:\workspace\H2541_gui\src-tauri\target\debug\deps;D:\workspace\H2541_gui\src-tauri\target\debug;C:\Users\H5495\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib;D:\workspace\H2541_gui\node_modules\.bin;D:\workspace\node_modules\.bin;D:\node_modules\.bin;C:\Users\H5495\AppData\Roaming\npm\node_modules\npm\node_modules\@npmcli\run-script\lib\node-gyp-bin;C:\Users\H5495\bin;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\local\bin;C:\Program Files\Git\usr\bin;C:\Program Files\Git\usr\bin;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Users\H5495\bin;D:\VSCode\VSCode-win32-x64-1.105.1;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0;C:\WINDOWS\System32\OpenSSH;C:\Program Files (x86)\AOMEI\AOMEI Backupper\7.1.2;C:\Program Files (x86)\PuTTY;C:\Program Files\dotnet;C:\Program Files\Bandizip;C:\Program Files\Git\cmd;C:\Program Files\nodejs;C:\Users\H5495\.cargo\bin;C:\Python38\Scripts;C:\Python38;C:\Users\H5495\AppData\Local\Microsoft\WindowsApps;C:\Users\H5495\.dotnet\tools;C:\Users\H5495\AppData\Roaming\npm;C:\Program Files\Git\usr\bin\vendor_perl;C:\Program Files\Git\usr\bin\core_perl;C:\Users\H5495\.rustup\toolchains\stable-x86_64-pc-windows-msvc\bin" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PATHEXT=".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PKG_CONFIG_PATH="C:\Program Files\Git\mingw64\lib\pkgconfig;C:\Program Files\Git\mingw64\share\pkgconfig" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PKG_CONFIG_SYSTEM_INCLUDE_PATH="C:/Program Files/Git/mingw64/include" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PKG_CONFIG_SYSTEM_LIBRARY_PATH="C:/Program Files/Git/mingw64/lib" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PLINK_PROTOCOL="ssh" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - POSTGIS_ENABLE_OUTDB_RASTERS="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - POSTGIS_GDAL_ENABLED_DRIVERS="GTiff PNG JPEG GIF XYZ DTED USGSDEM AAIGrid" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROCESSOR_ARCHITECTURE="AMD64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROCESSOR_IDENTIFIER="Intel64 Family 6 Model 158 Stepping 10, GenuineIntel" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROCESSOR_LEVEL="6" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROCESSOR_REVISION="9e0a" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ProgramData="C:\ProgramData" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROGRAMFILES="C:\Program Files" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ProgramFiles(x86)="C:\Program Files (x86)" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ProgramW6432="C:\Program Files" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROMPT="$P$G" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PROP_PITCH="9.12985" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PSModulePath="C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PUBLIC="C:\Users\Public" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - PWD="D:/workspace/H2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - RESAMPLE_PERIOD_VDR="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - RUSTUP_HOME="C:\Users\H5495\.rustup" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - RUSTUP_TOOLCHAIN="stable-x86_64-pc-windows-msvc" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - RUST_RECURSION_COUNT="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SESSIONNAME="Console" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SHELL="C:\Program Files\Git\usr\bin\bash.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SHIP_NAME="VENTURE IBERIA" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SHLVL="3" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SMARTNAVI="4ac7411e-f356-4d36-ac1e-a7d094313d3a" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SSH_AGENT_PID="24667" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SSH_ASKPASS="C:/Program Files/Git/mingw64/bin/git-askpass.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SSH_AUTH_SOCK="C:/Users/H5495/AppData/Local/Temp/ssh-LmtUeY6uhFtn/agent.24664" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SYSTEMDRIVE="C:" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - SYSTEMROOT="C:\WINDOWS" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TAURI_ANDROID_PACKAGE_NAME_APP_NAME="H2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TAURI_ANDROID_PACKAGE_NAME_PREFIX="com_VG" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TAURI_CLI_VERBOSITY="0" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TAURI_ENV_TARGET_TRIPLE="x86_64-pc-windows-msvc" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TAURI_SHELL_PLUGIN_CONFIG="{"open":true}" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TEMP="C:\Users\H5495\AppData\Local\Temp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TERM="xterm" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TERM_PROGRAM="vscode" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TERM_PROGRAM_VERSION="1.105.1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TMP="C:\Users\H5495\AppData\Local\Temp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - TMPDIR="C:\Users\H5495\AppData\Local\Temp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - USER="tapp" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - USERDOMAIN="SMARTNAV" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - USERDOMAIN_ROAMINGPROFILE="SMARTNAV" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - USERNAME="H5495" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - USERPROFILE="C:\Users\H5495" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VDR="7676e5b1-b376-4927-96b2-0b62c53fbf03" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VSCODE_GIT_ASKPASS_EXTRA_ARGS="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VSCODE_GIT_ASKPASS_MAIN="d:\VSCode\VSCode-win32-x64-1.105.1\resources\app\extensions\git\dist\askpass-main.js" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VSCODE_GIT_ASKPASS_NODE="D:\VSCode\VSCode-win32-x64-1.105.1\code.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VSCODE_GIT_IPC_HANDLE="\\.\pipe\vscode-git-9481a30038-sock" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - VSCODE_PYTHON_AUTOACTIVATE_GUARD="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - WINDIR="C:\WINDOWS" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ZES_ENABLE_SYSMAN="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - _="C:/Program Files/nodejs/node.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG initialize the db session. [lib.rs:24]
2025-10-29 04:58:22 DEBUG initialize the report module. [lib.rs:30]
